"zipcode","latitude","longitude"
"93900-000",-29.609,-51.1626
"11460-500",-23.9946,-46.2569
"78260-000",-15.4676,-58.356
"14960-000",-21.465,-49.2242
"92020-030",-29.9189,-51.1781
"93540-000",-29.6736,-51.1126
"04719-001",-23.6352,-46.7014
"04901-000",-23.6677,-46.7301
"18075-042",-23.5062,-47.4559
"28300-000",-21.2065,-41.8896
"24020-002",-22.8808,-43.1043
"08710-590",-23.5261,-46.198
"06709-150",-23.5877,-46.8327
"71680-362",-15.8947,-47.8526
"95860-000",-29.8004,-51.8645
"13360-000",-22.9949,-47.5095
"13290-000",-23.0867,-46.9495
"18134-220",-23.5308,-47.1354
"69909-430",-9.974,-67.8076
"13105-500",-22.8923,-46.9922
"18520-000",-23.1675,-47.7474
"20770-240",-22.8882,-43.2843
"11030-351",-23.9839,-46.3015
"06429-140",-23.4903,-46.9551
"85869-580",-25.4922,-54.5602
"09571-000",-23.6302,-46.5665
"05423-010",-23.5699,-46.6925
"69090-040",-3.03238,-59.9912
"15990-185",-21.6043,-48.3635
"05401-200",-23.5622,-46.6747
"03568-010",-23.5343,-46.4867
"74330-010",-16.7201,-49.3105
"75830-000",-17.5787,-52.5424
"28010-161",-21.7651,-41.3211
"96930-000",-29.6691,-52.7883
"71993-400",-15.7801,-47.9292
"29102-080",-20.3738,-40.3076
"75110-070",-16.3355,-48.9434
"17044-105",-22.3325,-49.056
"86900-000",-23.6036,-51.6427
"37660-000",-22.5517,-45.7809
"09715-000",-23.7119,-46.5484
"65073-460",-2.5074,-44.2408
"89770-000",-29.7127,-51.1405
"13185-300",-22.8987,-47.1749
"72705-010",-15.6731,-48.1925
"71710-570",-15.8739,-47.9712
"02831-001",-23.4465,-46.685
"93600-000",-29.6539,-51.1724
"98910-000",-27.7747,-54.2363
"13501-104",-22.4238,-47.5582
"89665-000",-27.3461,-51.6072
"17017-337",-22.3462,-49.061
"78005-340",-15.5952,-56.1016
"15650-000",-20.2833,-50.3996
"37540-000",-22.2499,-45.7198
"89107-000",-26.7474,-49.1738
"89900-000",-26.7258,-53.5181
"88220-000",-27.091,-48.612
"13970-070",-22.436,-46.822
"88210-000",-27.1546,-48.5427
"15110-000",-20.7958,-49.2206
"37590-000",-22.2879,-46.6134
"18760-000",-23.0459,-49.1691
"14200-000",-22.7233,-47.3191
"83280-000",-25.8834,-48.5762
"84010-280",-25.092,-50.1619
"59152-025",-5.93741,-35.2567
"79950-000",-23.0612,-54.2011
"56304-100",-9.3705,-40.5164
"15940-000",-21.2646,-48.687
"02734-000",-23.4929,-46.6963
"18530-000",-23.1123,-47.7229
"18540-000",-23.215,-47.5238
"72910-000",-15.7714,-48.2488
"37570-000",-22.2838,-46.3672
"15505-169",-20.4201,-49.9702
"38300-076",-18.9683,-49.4641
"86701-410",-23.4199,-51.4254
"01231-011",-23.5332,-46.6579
"86020-031",-23.3169,-51.1693
"02273-010",-23.4635,-46.5849
"15385-000",-20.426,-51.3427
"55700-000",-7.87232,-35.4398
"37890-000",-21.3691,-46.5208
"85660-000",-25.7346,-53.0585
"17515-200",-22.2101,-49.9392
"07252-000",-23.4333,-46.404
"37701-004",-21.7883,-46.5627
"13070-055",-22.8884,-47.0776
"55810-000",-7.84594,-35.2549
"55612-420",-8.11298,-35.2972
"55602-600",-8.11298,-35.2972
"71050-030",-15.8259,-47.9806
"13495-000",-22.5813,-47.5198
"88730-000",-28.3287,-49.1811
"86280-000",-23.2023,-50.7944
"88340-000",-27.0258,-48.6549
"95520-970",-29.8913,-50.273
"89260-000",-26.5111,-49.1149
"85875-000",-25.4489,-54.4071
"05338-001",-23.5509,-46.7491
"09450-000",-23.7444,-46.3928
"79480-000",-18.9204,-54.8437
"95700-000",-29.1696,-51.5075
"88390-000",-26.6326,-48.6852
"15013-000",-20.8147,-49.367
"79110-080",-20.4565,-54.6353
"23810-201",-22.8665,-43.7772
"09541-270",-23.6174,-46.5678
"95960-000",-29.2322,-51.8834
"20560-030",-22.9204,-43.2505
"22470-030",-22.966,-43.2177
"74210-045",-16.7129,-49.2478
"70804-005",-15.7933,-47.8495
"39205-000",-18.6608,-48.1888
"11730-000",-24.0924,-46.6213
"80060-010",-25.4295,-49.2649
"88036-500",-27.592,-48.5171
"87140-000",-23.4593,-52.0465
"36420-000",-20.5123,-43.7153
"13600-970",-22.3587,-47.3841
"04109-000",-23.5489,-46.6388
"96211-000",-32.0361,-52.1077
