"code","latitude","longitude"
2453,-22.4651,-43.4655
2461,-23.2199,-45.9109
2463,-26.8371,-52.9868
2466,-16.3608,-46.9029
2478,-23.4464,-51.872
2486,-15.7801,-47.9292
2488,-15.8167,-48.05
2505,-23.6333,-46.7667
2507,-15.6107,-56.0722
2517,-22.2194,-49.9484
2518,-22.1154,-45.051
2525,-20.686,-50.5555
2527,-21.47,-47.3619
2531,-16.0066,-48.082
2532,-15.767,-47.7797
2539,-12.558,-55.7337
2546,-20.1999,-40.2508
2549,-23.0738,-52.4653
2568,-7.11964,-34.8391
2585,-28.4834,-49.0031
2621,-5.82025,-35.2132
2622,-22.8085,-43.4145
2624,-23.5492,-46.9373
2625,-24.1846,-53.0187
2628,-5.7873,-35.2013
2629,-5.79448,-35.211
41268,-23.9618,-46.3314
2643,-6.2613,-36.5161
2648,-28.3686,-49.2856
2649,-23.6343,-46.5319
2651,-23.2276,-46.969
2664,-28.2614,-47.8517
2666,-24.2817,-53.8404
2667,-23.6687,-46.4614
2668,-20.3154,-40.3018
2669,-19.8228,-40.2709
2673,-28.2833,-49.1587
2681,-23.7183,-46.6906
2682,-12.0994,-45.7983
2690,-20.4771,-54.6063
2691,-28.6522,-49.2105
2696,-22.2321,-45.9341
2698,-23.27,-51.0488
2703,-23.6237,-46.5918
2802,-22.9812,-49.8703
2803,-22.8796,-43.4632
2809,-27.5927,-48.6125
2845,-23.9671,-46.3782
21031,-23.995,-46.2599
21040,-23.2854,-47.674
21101,-21.1832,-47.8081
21111,-7.10856,-34.8276
21125,-23.4854,-46.3524
21126,-20.6597,-43.7855
21132,-27.5946,-48.5477
21264,2.8276,-60.6656
21359,-29.609,-51.1626
21360,-23.9946,-46.2569
21361,-15.4676,-58.356
21412,-21.465,-49.2242
21490,-29.9189,-51.1781
21491,-29.6736,-51.1126
21500,-23.6352,-46.7014
21502,-23.6677,-46.7301
21648,-23.5062,-47.4559
21654,-21.2065,-41.8896
21659,-22.8808,-43.1043
